periodo;regiao;encargos_sns_ambulatorio;encargos_utentes_ambulatorio;valor_pvp_ambulatorio;encargos_sns_genericos ;encargos_sns_hospitalar
2012-06;Norte;28457016,50;16283820,82;44740837,32;5815081,75;24042345,32
2012-07;Alentejo;4518258,00;2656027,50;7174285,50;893366,53;2818937,03
2012-08;Centro;25447081,18;12942668,92;38389750,10;4621799,21;14053572,66
2012-09;Alentejo;4370046,74;2357647,92;6727694,66;896738,00;2456377,05
2012-09;Algarve;3529590,23;2033982,85;5563573,08;591638,04;3030415,56
2012-10;Alentejo;4820760,55;2707415,98;7528176,53;962959,94;2937089,04
2012-11;Centro;24328218,90;13232575,64;37560794,54;4631452,08;13754338,97
2012-12;Algarve;3538783,20;2061417,28;5600200,48;617688,19;2247344,57
2013-01;Centro;24362338,80;14324525,71;38686864,51;4845037,87;14426059,35
2013-02;Algarve;3225271,51;2007909,36;5233180,87;605799,63;3178720,49
2013-03;Norte;27815018,23;15676593,82;43491612,05;6124786,76;26163924,25
2013-04;Alentejo;4751549,35;2843959,50;7595508,85;1053228,53;2903270,83
2013-05;Norte;31767023,31;18327473,53;50094496,84;6928861,15;26417449,40
2013-06;Alentejo;4421614,60;2491653,22;6913267,82;1000897,07;2463379,61
2013-07;Lisboa;36508151,90;22318893,24;58827045,14;7693157,76;39246541,99
2013-08;Alentejo;4495450,01;2526870,70;7022320,71;1033707,82;2559895,74
2013-10;Centro;26786577,93;15898087,25;42684665,18;5348242,63;14238102,13
2013-11;Centro;25405888,81;14817114,78;40223003,59;5163046,68;12863614,22
2014-03;Centro;25171544,70;14267632,77;39439177,47;5288564,07;13458686,28
2014-06;Norte;28168686,34;16255771,04;44424457,38;6376301,25;23942957,33
2014-07;Norte;31126489,67;18320362,26;49446851,93;7099210,04;28626752,37
2014-08;Algarve;3736060,79;2385355,37;6121416,16;700993,94;2849857,24
2014-08;Lisboa;29433649,77;18219586,59;47653236,36;6509235,30;33762809,14
2014-11;Lisboa;33411583,09;21137651,76;54549234,85;7220773,19;33166965,16
2014-11;Norte;29745262,07;17416496,62;47161758,69;6733223,46;22970187,63
2015-01;Centro;26096856,52;15462647,43;41559503,95;5359674,80;13742449,57
2015-02;Norte;28922107,51;16993041,01;45915148,52;6445442,25;25856672,25
2015-03;Norte;30997066,97;17955628,93;48952695,90;6905108,28;23775405,05
2015-04;Norte;30345047,49;17671428,06;48016475,55;6695502,91;27419838,99
2015-05;Lisboa;33928919,12;21529023,59;55457942,71;7440007,09;37284614,96
2015-07;Algarve;4049590,84;2531863,02;6581453,86;754253,79;3502441,67
2015-09;Centro;25072971,19;14518655,14;39591626,33;5247768,86;15308347,60
2015-09;Algarve;3822008,25;2349267,27;6171275,52;713068,58;3157378,59
2015-10;Norte;32378288,61;19366577,90;51744866,51;7250365,61;28851925,48
2015-10;Algarve;3827939,14;2383286,34;6211225,48;709375,85;3439906,13
2015-12;Centro;26137091,59;14919200,06;41056291,65;5412035,55;15811663,13
2016-01;Norte;30450538,33;17976892,81;48427431,14;6821913,72;29380535,10
2016-02;Lisboa;33847730,65;21080457,50;54928188,15;7449694,35;41162149,08
2016-02;Alentejo;4495418,67;2604887,67;7100306,34;1045871,26;2732711,64
2016-02;Algarve;3650010,36;2239605,25;5889615,61;674355,36;3082860,99
2016-03;Centro;26077995,50;14749086,51;40827082,01;5447117,16;16017668,80
2016-03;Algarve;3962385,43;2394721,18;6357106,61;740964,10;3428920,61
2016-04;Lisboa;34586152,63;21179113,32;55765265,95;7583088,77;39078603,56
2016-04;Alentejo;4639849,29;2613519,62;7253368,91;1081249,77;2759768,08
2016-04;Algarve;3773611,77;2270097,29;6043709,06;696990,77;3015000,54
2016-06;Norte;29874437,80;16847090,30;46721528,10;6731695,87;29357739,89
2016-06;Alentejo;4578941,13;2558359,55;7137300,68;1059396,94;2890132,32
2016-08;Alentejo;4561008,00;2502023,23;7063031,23;1044987,06;2845515,15
2016-09;Norte;30416864,89;17256093,79;47672958,68;6853128,93;29181918,22
2016-12;Norte;31499692,15;18162887,96;49662580,11;6945859,92;23755169,37
2017-01;Centro;26642990,38;14963469,86;41606460,24;5442337,21;16542680,34
2017-01;Alentejo;4841617,55;2707942,12;7549559,67;1093201,24;2960096,26
2017-02;Centro;23840429,30;13072973,81;36913403,11;4830678,62;13825944,69
2017-02;Alentejo;4341459,45;2409751,52;6751210,97;973493,51;2599735,91
2017-07;Lisboa;36158632,01;21621048,24;57779680,25;8035709,59;42817827,39
2017-08;Norte;30461545,32;16747063,61;47208608,93;6959675,98;34322235,74
2017-09;Centro;25840542,45;13975153,31;39815695,76;5433996,26;15796803,20
2017-09;Lisboa;34002364,72;20229788,39;54232153,11;7609938,93;41394112,10
2017-09;Alentejo;4631695,03;2534618,92;7166313,95;1096619,64;2893545,95
2017-10;Alentejo;4784080,10;2730139,03;7514219,13;1117638,38;3182784,97
2017-10;Algarve;3886309,55;2399771,85;6286081,40;716598,48;3312460,47
2017-11;Lisboa;35830621,19;22199290,80;58029911,99;7867446,33;44787144,12
2017-12;Norte;31342692,74;18071598,15;49414290,89;7082768,07;9630408,85
2017-12;Lisboa;34711671,75;21302991,33;56014663,08;7651396,38;41149254,51
2017-12;Alentejo;4515817,48;2528072,75;7043890,23;1063679,83;2889264,57
2018-02;Lisboa;34314647,76;20642143,25;54956791,01;7728771,65;41779782,98
2018-03;Centro;27278279,25;14632491,88;41910771,13;5774591,68;17829513,64
2018-03;Lisboa;36902130,67;21940500,26;58842630,93;8288550,03;45004380,32
2018-03;Alentejo;4888973,52;2665596,10;7554569,62;1179438,86;3126427,16
2018-04;Norte;35909478,16;20002548,96;55912027,12;8217186,21;37286531,59
2018-04;Centro;20048754,27;10723109,61;30771863,88;4145259,54;16920785,83
2018-05;Norte;32998869,06;18357634,46;51356503,52;7554216,17;26814848,99
2018-05;Centro;27036052,67;14542919,08;41578971,75;5722327,93;17840153,88
2018-07;Norte;33808831,68;18728280,02;52537111,70;7726029,48;36557844,79
2018-08;Norte;31453889,67;17142403,11;48596292,78;7201782,67;35906739,58
2018-10;Norte;39820278,19;22357081,65;62177359,84;9088483,09;39560288,03
2018-12;Lisboa;37972081,77;22516705,89;60488787,66;8562896,34;0,00
2019-02;Centro;20337488,04;10707923,13;31045411,17;4169665,50;17178925,95
2019-02;Lisboa;36824123,33;21741278,04;58565401,37;8145986,98;0,00
2019-03;Norte;34321524,76;18830622,97;53152147,73;7727026,15;36459754,16
2019-05;Lisboa;40387212,08;23457872,74;63845084,82;8965070,95;0,00
2019-06;Algarve;4033021,44;2328257,12;6361278,56;764455,24;3599870,01
2019-07;Centro;30590997,69;15807138,50;46398136,19;6375529,34;19924121,67
2019-07;Algarve;4695281,89;2742113,14;7437395,03;883092,65;4052129,75
2019-09;Centro;27509597,77;14239269,35;41748867,12;5697141,59;18190754,83
2019-09;Alentejo;4850259,52;2543292,94;7393552,46;1144015,33;3221223,03
2019-09;Algarve;4195329,41;2420010,18;6615339,59;790778,57;4034211,33
2019-12;Algarve;4360699,18;2490447,76;6851146,94;805257,42;1470465,10
